nama_normalized,jumlah_sekolah_sd_(negeri)_x,jumlah_sekolah_sd_(swasta)_x,jumlah_sekolah_sd_(negeri+swasta)_x,jumlah_guru_sd_(negeri)_x,jumlah_guru_sd_(swasta)_x,jumlah_guru_sd_(negeri+swasta)_x,jumlah_murid_sd_(negeri)_x,jumlah_murid_sd_(swasta)_x,jumlah_murid_sd_(negeri+swasta)_x,jumlah_sekolah_sd_(negeri)_y,jumlah_sekolah_sd_(swasta)_y,jumlah_sekolah_sd_(negeri+swasta)_y,jumlah_guru_sd_(negeri)_y,jumlah_guru_sd_(swasta)_y,jumlah_guru_sd_(negeri+swasta)_y,jumlah_murid_sd_(negeri)_y,jumlah_murid_sd_(swasta)_y,jumlah_murid_sd_(negeri+swasta)_y,angka_partisipasi_kasar_2024,angka_partisipasi_murni_2024,usia_harapan_hidup_2024,harapan_lama_sekolah_2024,rata-rata_lama_sekolah_2024,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024,indeks_pembangunan_manusia_2024,angka_partisipasi_kasar_2024_winsorized,angka_partisipasi_murni_2024_winsorized,usia_harapan_hidup_2024_winsorized,harapan_lama_sekolah_2024_winsorized,rata-rata_lama_sekolah_2024_winsorized,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024_winsorized,indeks_pembangunan_manusia_2024_winsorized,angka_partisipasi_kasar_2024_winsorized_winsorized,murid_per_sekolah,aps_sd,murid_per_guru
pacitan,408,11,419,3614,161,3775,29126,2777,31903,408,11,419,3614,161,3775,29126,2777,31903,101.87,95.28,74.74,12.69,7.9,10.099,71.49,101.87,95.2911,74.74,12.69,7.9,10.099,71.49,101.87,76.14081145584726,101.87,8.45112582781457
pamekasan,411,65,476,4472,569,5041,50519,8956,59475,411,65,476,4472,569,5041,50519,8956,59475,108.24,99.14,73.66,13.69,7.17,9.811,70.85,108.24,99.14,73.66,13.69,7.17,9.811,70.85,108.24,124.94747899159664,108.24,11.798254314620115
pasuruan,2792,352,3144,29288,4092,33380,477260,68068,545328,1396,176,1572,14644,2046,16690,238630,34034,272664,101.25999999999999,96.265,74.735,13.225,8.7,13.1405,75.63,101.25999999999999,96.265,74.735,13.225,8.7,13.1405,75.63,101.25999999999999,173.45038167938932,101.25999999999999,16.336968244457758
ponorogo,550,21,571,4031,390,4421,40943,6588,47531,550,21,571,4031,390,4421,40943,6588,47531,101.81,96.63,75.28,13.78,7.8,11.065,73.7,101.81,96.63,75.28,13.78,7.8,11.065,73.7,101.81,83.24168126094571,101.81,10.751187514137072
probolinggo,2588,252,2840,21904,2416,24320,319788,36168,355956,1294,126,1420,10952,1208,12160,159894,18084,177978,104.36500000000001,98.535,74.12,13.31,8.015,12.831499999999998,74.32,104.36500000000001,98.535,74.12,13.31,8.015,12.831499999999998,74.32,104.36500000000001,125.33661971830986,104.36500000000001,14.636348684210526
sampang,511,118,629,4505,609,5114,64120,9693,73813,511,118,629,4505,609,5114,64120,9693,73813,110.7,96.22,73.66,12.55,5.08,9.782,66.72,110.7,96.22,73.66,12.55,5.4241,9.79273,66.9457,110.7,117.34976152623211,110.7,14.43351583887368
sidoarjo,463,122,585,6310,2197,8507,106836,35083,141919,463,122,585,6310,2197,8507,106836,35083,141919,104.5,99.4,75.63,15.22,10.91,15.71,82.67,104.5,99.4,75.63,15.22,10.91,15.71,82.67,104.5,242.59658119658118,104.5,16.682614317620782
situbondo,397,29,426,3888,342,4230,39590,4486,44076,397,29,426,3888,342,4230,39590,4486,44076,104.72,96.86,73.36,13.2,6.93,11.216,71.22,104.72,96.86,73.36,13.2,6.93,11.216,71.22,104.72,103.46478873239437,104.72,10.419858156028369
sumenep,550,84,634,5713,700,6413,47540,6214,53754,550,84,634,5713,700,6413,47540,6214,53754,108.02,98.84,73.86,13.59,6.1,10.156,69.78,108.02,98.84,73.86,13.59,6.1,10.156,69.78,108.02,84.78548895899054,108.02,8.382036488382973
surabaya,284,367,651,5782,5642,11424,125414,87998,213412,284,367,651,5782,5642,11424,125414,87998,213412,100.19,95.49,76.02,14.87,10.89,19.666,84.69,100.19,95.49,76.0089,14.87,10.89,18.97225000000001,84.6863,100.19,327.82181259600617,100.19,18.681022408963585
trenggalek,417,21,438,3405,239,3644,35871,3742,39613,417,21,438,3405,239,3644,35871,3742,39613,100.64,96.39,75.35,12.63,7.92,10.872,72.47,100.64,96.39,75.35,12.63,7.92,10.872,72.47,100.64,90.44063926940639,100.64,10.870746432491767
tuban,541,26,567,4520,383,4903,58559,5873,64432,541,26,567,4520,383,4903,58559,5873,64432,99.37,95.43,74.95,12.54,7.53,11.579,72.31,99.5402,95.43,74.95,12.54,7.53,11.579,72.31,99.647426,113.63668430335098,99.647426,13.141342035488476
tulungagung,569,63,632,5587,810,6397,52132,11076,63208,569,63,632,5587,810,6397,52132,11076,63208,103.4,99.5,75.2,13.36,8.68,11.966,75.13,103.4,99.5,75.2,13.36,8.68,11.966,75.13,103.4,100.0126582278481,103.4,9.880881663279663
